"Source:","C:\Users\manue\Documents\KiCad\411-project-Final-Simple\411-project-Final-Simple.kicad_sch"
"Date:","11/13/2022 10:49:24 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"10","1","J5","Conn_01x07_Female","Connector:Conn_01x07_Female","","~","",""
"11","1","MK1","Microphone_Condenser","Device:Microphone_Condenser","","~","",""
"12","7","Q1, Q2, Q3, Q4, Q5, Q6, Q7","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","",""
"13","2","R1, R2","1K","Device:R","","~","",""
"14","1","R3","22K","Device:R","","~","",""
"15","2","R4, R5","1M","Device:R","","~","",""
"16","1","R6","100K","Device:R","","~","",""
"17","14","R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","10K","Device:R","","~","",""
"18","1","RV1","100K_Potentiometer","Device:R_Potentiometer","","~","",""
"19","1","RV2","10k_Potentiometer","Device:R_Potentiometer","","~","",""
"20","1","U1","MAX4466","Custom_Parts:MAX4466","","","",""
"21","1","U2","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D","","Espressif Systems","4"
